Step,Time,Population
526,0.526,3.2939757971646
527,0.527,3.29436472547932
528,0.528,3.29474985590067
529,0.529,3.2951312246208
530,0.53,3.2955088675046
531,0.531,3.29588282009224
532,0.532,3.29625311760183
533,0.533,3.29661979493195
534,0.534,3.29698288666425
535,0.535,3.29734242706603
536,0.536,3.2976984500927
537,0.537,3.29805098939039
538,0.538,3.29840007829844
539,0.539,3.29874574985187
540,0.54,3.29908803678389
541,0.541,3.29942697152838
542,0.542,3.29976258622231
543,0.543,3.30009491270824
544,0.544,3.30042398253667
545,0.545,3.30074982696853
546,0.546,3.30107247697752
547,0.547,3.30139196325251
548,0.548,3.30170831619996
549,0.549,3.30202156594616
550,0.55,3.3023317423397
551,0.551,3.30263887495371
552,0.552,3.30294299308818
553,0.553,3.30324412577229
554,0.554,3.30354230176666
555,0.555,3.30383754956565
556,0.556,3.30412989739954
557,0.557,3.30441937323687
558,0.558,3.30470600478657
559,0.559,3.30498981950022
560,0.56,3.30527084457422
561,0.561,3.30554910695198
562,0.562,3.30582463332609
563,0.563,3.30609745014043
564,0.564,3.30636758359236
565,0.565,3.3066350596348
566,0.566,3.30689990397833
567,0.567,3.30716214209331
568,0.568,3.30742179921196
569,0.569,3.30767890033037
570,0.57,3.3079334702106
571,0.571,3.30818553338269
572,0.572,3.30843511414667
573,0.573,3.30868223657458
574,0.574,3.30892692451246
575,0.575,3.30916920158229
576,0.576,3.30940909118401
577,0.577,3.30964661649742
578,0.578,3.30988180048411
579,0.579,3.31011466588942
580,0.58,3.31034523524431
581,0.581,3.31057353086724
582,0.582,3.31079957486608
583,0.583,3.31102338913994
584,0.584,3.31124499538104
585,0.585,3.31146441507654
586,0.586,3.31168166951035
587,0.587,3.31189677976494
588,0.588,3.31210976672314
589,0.589,3.3123206510699
590,0.59,3.31252945329409
591,0.591,3.31273619369021
592,0.592,3.31294089236016
593,0.593,3.31314356921494
594,0.594,3.3133442439764
595,0.595,3.31354293617889
596,0.596,3.31373966517097
597,0.597,3.3139344501171
598,0.598,3.31412730999925
599,0.599,3.3143182636186
600,0.6,3.31450732959712
601,0.601,3.31469452637923
602,0.602,3.3148798722334
603,0.603,3.31506338525372
604,0.604,3.3152450833615
605,0.605,3.31542498430686
606,0.606,3.31560310567023
607,0.607,3.31577946486394
608,0.608,3.31595407913374
609,0.609,3.31612696556031
610,0.61,3.31629814106076
611,0.611,3.31646762239016
612,0.612,3.31663542614298
613,0.613,3.31680156875457
614,0.614,3.31696606650263
615,0.615,3.31712893550867
616,0.616,3.31729019173939
617,0.617,3.31744985100815
618,0.618,3.31760792897637
619,0.619,3.31776444115492
620,0.62,3.31791940290549
