Simulation:,Maximum Range
Trajectory,X,Y
Maximum Range,16294.4765668155,8258.78599865683
Maximum Range,16325.2161552503,8253.03686191442
Maximum Range,16355.9388976753,8247.19287583275
Maximum Range,16386.6447929271,8241.25409436881
Maximum Range,16417.3338395348,8235.22057157604
Maximum Range,16448.0060357203,8229.09236160716
Maximum Range,16478.6613793988,8222.86951871706
Maximum Range,16509.29986818,8216.55209726562
Maximum Range,16539.9214993683,8210.14015172057
Maximum Range,16570.5262699635,8203.63373666037
Maximum Range,16601.1141766615,8197.03290677699
Maximum Range,16631.685215855,8190.33771687884
Maximum Range,16662.2393836337,8183.54822189353
Maximum Range,16692.7766757855,8176.66447687076
Maximum Range,16723.2970877967,8169.68653698512
Maximum Range,16753.8006148524,8162.61445753897
Maximum Range,16784.2872518377,8155.44829396523
Maximum Range,16814.7569933377,8148.18810183023
Maximum Range,16845.2098336383,8140.83393683654
Maximum Range,16875.6457667269,8133.3858548258
Maximum Range,16906.0647862924,8125.84391178152
Maximum Range,16936.4668857265,8118.20816383194
Maximum Range,16966.8520581235,8110.47866725283
Maximum Range,16997.2202962816,8102.65547847034
Maximum Range,17027.5715927025,8094.73865406377
Maximum Range,17057.9059395929,8086.72825076843
Maximum Range,17088.2233288642,8078.62432547846
Maximum Range,17118.5237521333,8070.42693524962
Maximum Range,17148.8072007233,8062.13613730212
Maximum Range,17179.0736656637,8053.75198902347
Maximum Range,17209.3231376911,8045.27454797121
Maximum Range,17239.5556072493,8036.70387187583
Maximum Range,17269.7710644903,8028.04001864351
Maximum Range,17299.9694992744,8019.28304635896
Maximum Range,17330.1509011706,8010.43301328823
Maximum Range,17360.3152594575,8001.48997788153
Maximum Range,17390.4625631232,7992.45399877603
Maximum Range,17420.5928008661,7983.32513479869
Maximum Range,17450.7059610952,7974.10344496907
Maximum Range,17480.8020319304,7964.78898850213
Maximum Range,17510.8810012034,7955.38182481106
Maximum Range,17540.9428564575,7945.88201351008
Maximum Range,17570.9875849483,7936.28961441727
Maximum Range,17601.0151736444,7926.60468755738
Maximum Range,17631.0256092272,7916.82729316463
Maximum Range,17661.0188780916,7906.95749168555
Maximum Range,17690.9949663466,7896.99534378177
Maximum Range,17720.9538598154,7886.94091033289
Maximum Range,17750.8955440357,7876.79425243922
Maximum Range,17780.8200042603,7866.55543142467
Maximum Range,17810.7272254575,7856.22450883953
Maximum Range,17840.6171923113,7845.8015464633
Maximum Range,17870.4898892217,7835.28660630752
Maximum Range,17900.3453003053,7824.6797506186
Maximum Range,17930.1834093956,7813.98104188061
Maximum Range,17960.004200043,7803.19054281815
Maximum Range,17989.8076555156,7792.30831639915
Maximum Range,18019.5937587993,7781.33442583771
Maximum Range,18049.3624925981,7770.26893459694
