Simulation:,Air Resistance
Trajectory,X,Y
Angle 45,17869.5059565299,5165.06547334176
Angle 45,17890.9361204986,5145.64457882505
Angle 45,17912.3414932138,5126.14815116025
Angle 45,17933.722075577,5106.57630302771
Angle 45,17955.0778684622,5086.92914725644
Angle 45,17976.4088727172,5067.2067968233
Angle 45,17997.7150891654,5047.40936485233
Angle 45,18018.9965186067,5027.536964614
Angle 45,18040.2531618198,5007.58970952441
Angle 45,18061.4850195627,4987.56771314455
Angle 45,18082.692092575,4967.47108917952
Angle 45,18103.8743815789,4947.29995147769
Angle 45,18125.0318872805,4927.05441402991
Angle 45,18146.1646103716,4906.7345909687
Angle 45,18167.2725515308,4886.34059656737
Angle 45,18188.3557114251,4865.87254523922
Angle 45,18209.4140907108,4845.33055153661
Angle 45,18230.4476900357,4824.71473015016
Angle 45,18251.4565100394,4804.0251959078
Angle 45,18272.4405513556,4783.26206377389
Angle 45,18293.3998146128,4762.42544884835
Angle 45,18314.3343004358,4741.51546636565
Angle 45,18335.2440094471,4720.53223169396
Angle 45,18356.1289422681,4699.47586033417
Angle 45,18376.9890995202,4678.34646791893
Angle 45,18397.8244818263,4657.14417021169
Angle 45,18418.6350898121,4635.86908310574
Angle 45,18439.4209241069,4614.52132262321
Angle 45,18460.1819853456,4593.10100491404
Angle 45,18480.9182741689,4571.60824625503
Angle 45,18501.6297912255,4550.04316304881
Angle 45,18522.3165371726,4528.40587182279
Angle 45,18542.9785126773,4506.69648922811
Angle 45,18563.615718418,4484.91513203868
Angle 45,18584.228155085,4463.06191715002
Angle 45,18604.8158233823,4441.13696157826
Angle 45,18625.3787240282,4419.14038245907
Angle 45,18645.9168577567,4397.07229704653
Angle 45,18666.4302253185,4374.9328227121
Angle 45,18686.9188274823,4352.72207694351
Angle 45,18707.3826650355,4330.4401773436
Angle 45,18727.8217387856,4308.08724162928
Angle 45,18748.2360495611,4285.66338763038
Angle 45,18768.6255982127,4263.16873328851
Angle 45,18788.9903856142,4240.60339665593
Angle 45,18809.3304126635,4217.96749589443
Angle 45,18829.6456802838,4195.26114927412
Angle 45,18849.9361894245,4172.48447517236
Angle 45,18870.2019410622,4149.63759207252
Angle 45,18890.4429362015,4126.72061856284
Angle 45,18910.6591758765,4103.73367333524
Angle 45,18930.8506611512,4080.67687518417
Angle 45,18951.0173931205,4057.55034300537
Angle 45,18971.1593729118,4034.35419579469
Angle 45,18991.2766016849,4011.08855264692
Angle 45,19011.3690806339,3987.75353275453
Angle 45,19031.4368109875,3964.3492554065
Angle 45,19051.4797940099,3940.87583998707
Angle 45,19071.4980310022,3917.33340597452
Angle 45,19091.4915233026,3893.72207293995
Angle 45,19111.460272288,3870.04196054604
Angle 45,19131.404279374,3846.29318854582
