Simulation:,No Air Resistance
Trajectory,X,Y
Angle 45,16581.6540188244,11099.0440188245
Angle 45,16631.1514935075,11115.7114935075
Angle 45,16680.6489681906,11132.2809681906
Angle 45,16730.1464428736,11148.7524428736
Angle 45,16779.6439175567,11165.1259175567
Angle 45,16829.1413922397,11181.4013922397
Angle 45,16878.6388669228,11197.5788669228
Angle 45,16928.1363416059,11213.6583416059
Angle 45,16977.6338162889,11229.6398162889
Angle 45,17027.131290972,11245.523290972
Angle 45,17076.628765655,11261.308765655
Angle 45,17126.1262403381,11276.9962403381
Angle 45,17175.6237150212,11292.5857150211
Angle 45,17225.1211897042,11308.0771897042
Angle 45,17274.6186643873,11323.4706643873
Angle 45,17324.1161390703,11338.7661390703
Angle 45,17373.6136137534,11353.9636137534
Angle 45,17423.1110884365,11369.0630884364
Angle 45,17472.6085631195,11384.0645631195
Angle 45,17522.1060378026,11398.9680378026
Angle 45,17571.6035124856,11413.7735124856
Angle 45,17621.1009871687,11428.4809871687
Angle 45,17670.5984618517,11443.0904618517
Angle 45,17720.0959365348,11457.6019365348
Angle 45,17769.5934112179,11472.0154112178
Angle 45,17819.0908859009,11486.3308859009
Angle 45,17868.588360584,11500.548360584
Angle 45,17918.085835267,11514.667835267
Angle 45,17967.5833099501,11528.6893099501
Angle 45,18017.0807846332,11542.6127846331
Angle 45,18066.5782593162,11556.4382593162
Angle 45,18116.0757339993,11570.1657339993
Angle 45,18165.5732086823,11583.7952086823
Angle 45,18215.0706833654,11597.3266833654
Angle 45,18264.5681580485,11610.7601580484
Angle 45,18314.0656327315,11624.0956327315
Angle 45,18363.5631074146,11637.3331074145
Angle 45,18413.0605820976,11650.4725820976
Angle 45,18462.5580567807,11663.5140567807
Angle 45,18512.0555314638,11676.4575314637
Angle 45,18561.5530061468,11689.3030061468
Angle 45,18611.0504808299,11702.0504808298
Angle 45,18660.5479555129,11714.6999555129
Angle 45,18710.045430196,11727.2514301959
Angle 45,18759.5429048791,11739.704904879
Angle 45,18809.0403795621,11752.0603795621
Angle 45,18858.5378542452,11764.3178542451
Angle 45,18908.0353289282,11776.4773289282
Angle 45,18957.5328036113,11788.5388036112
Angle 45,19007.0302782944,11800.5022782943
Angle 45,19056.5277529774,11812.3677529774
Angle 45,19106.0252276605,11824.1352276604
Angle 45,19155.5227023435,11835.8047023435
Angle 45,19205.0201770266,11847.3761770265
Angle 45,19254.5176517096,11858.8496517096
Angle 45,19304.0151263927,11870.2251263926
Angle 45,19353.5126010758,11881.5026010757
Angle 45,19403.0100757588,11892.6820757588
Angle 45,19452.5075504419,11903.7635504418
Angle 45,19502.0050251249,11914.7470251249
Angle 45,19551.502499808,11925.6324998079
Angle 45,19600.9999744911,11936.419974491
Angle 45,19650.4974491741,11947.109449174
Angle 45,19699.9949238572,11957.7009238571
Angle 45,19749.4923985402,11968.1943985402
Angle 45,19798.9898732233,11978.5898732232
Angle 45,19848.4873479064,11988.8873479063
Angle 45,19897.9848225894,11999.0868225893
Angle 45,19947.4822972725,12009.1882972724
Angle 45,19996.9797719555,12019.1917719555
